what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594436843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594436968
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594516578
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1316594517625
activated,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316594519468
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316594560828
activated,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316594576437
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316594607203
activated,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316594650015
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316594653578
activated,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316594653953
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316594655359
activated,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316594656421
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316594657500
activated,editor,com.adobe.flexbuilder.mxml.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1316594661343
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316594665687
opened,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316594670031
activated,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316594670203
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316594692187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594695875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594697437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594697828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594697984
closed,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316594698015
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594708484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594709281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594709625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594709687
activated,editor,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1316594715796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316594743625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1316594749203
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1316594750296
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316594790718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594826734
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594892437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594944984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594976734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316594982671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316603067437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316603067515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316603067546
opened,editor,com.adobe.flexbuilder.mxml.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1316603068281
activated,editor,com.adobe.flexbuilder.mxml.editor,4.5.1.313231,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1316603068703
activated,view,com.adobe.flexbuilder.as.editor,4.5.1.313231,"com.adobe.flexbuilder.packageexplorer",1316603071718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316603075546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316603077203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316603077718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316603081078
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1316603082828
